living_area,land_area,quality_score,garage_capacity,garage_area,bathrooms,bedrooms,total_rooms,has_pool,has_gym,has_garden,has_garage,has_fireplace,sale_year,house_age_future,location,SalePrice
1269,3182,8,2,430,2,2,6,0,0,0,1,1,2025,21,Rural,192000
1374,13300,7,2,400,2,3,7,0,0,1,1,1,2025,21,Rural,184500
1960,7851,6,2,440,2,4,8,0,0,0,1,1,2025,23,Rural,216500
1733,8577,7,2,433,2,3,7,0,0,1,1,1,2025,21,Rural,185088
1430,7750,7,2,400,2,3,7,0,0,0,1,1,2025,25,Rural,180000
2035,9505,7,2,434,2,3,8,0,0,1,1,1,2025,24,Rural,222500
2599,14774,9,3,779,2,4,10,0,0,1,1,1,2025,26,Rural,333168
2475,17433,8,3,962,2,4,7,0,0,1,1,1,2025,27,Rural,355000
1720,10593,7,2,527,2,3,7,0,0,1,1,1,2025,29,Rural,260400
2622,12256,8,2,712,2,3,9,0,0,1,1,1,2025,31,Rural,325000
2270,11764,8,3,671,2,4,9,0,0,1,1,1,2025,26,Rural,290000
1839,16770,7,2,486,2,4,7,0,0,1,1,0,2025,27,Rural,221000
3238,14720,8,3,666,2,4,9,0,0,1,1,1,2025,30,Rural,410000
1595,8987,8,3,880,2,2,6,0,0,1,1,1,2025,20,Rural,221500
1218,9215,7,2,676,2,2,4,0,0,1,1,0,2025,16,Rural,204500
1547,8640,7,2,614,2,3,7,0,0,1,1,0,2025,16,Rural,215200
1566,9000,8,2,750,2,3,7,0,0,1,1,0,2025,17,Rural,262500
1947,12552,7,2,678,2,3,8,0,0,1,1,1,2025,21,Rural,254900
1468,10440,6,2,528,2,2,6,0,0,1,1,1,2025,20,Rural,271500
2084,10142,7,2,618,2,4,8,0,0,1,1,0,2025,21,Rural,233000
1659,11920,7,2,484,2,3,8,0,0,1,1,0,2025,21,Rural,181000
2110,8880,7,2,463,2,3,8,0,0,1,1,1,2025,31,Rural,205000
923,8012,6,1,264,2,2,5,0,0,1,1,1,2025,45,Rural,143000
1845,11218,6,2,462,2,3,8,0,0,1,1,1,2025,33,Rural,189000
918,7892,6,1,264,2,2,5,0,0,0,1,1,2025,46,Rural,99500
752,7175,6,1,264,1,2,4,0,0,0,1,0,2025,41,Rural,125000
1744,9453,7,2,457,2,3,7,0,0,1,1,0,2025,32,Rural,194500
1097,9672,6,2,480,2,3,6,0,0,1,1,0,2025,41,Rural,152000
1564,8400,6,2,476,2,3,7,0,0,1,1,1,2025,45,Rural,171000
1012,9800,5,1,429,1,2,5,1,1,1,1,0,2025,105,Urban,67500
1902,8930,6,2,539,2,4,8,1,1,1,1,0,2025,47,Urban,112000
1155,11782,5,2,576,1,3,6,0,0,1,1,0,2025,64,Rural,148000
894,8450,5,1,336,1,3,5,0,0,1,1,1,2025,60,Rural,138500
900,9819,5,1,280,1,3,5,0,0,1,1,0,2025,58,Rural,122000
1040,7500,5,1,308,1,3,5,0,0,0,1,0,2025,62,Rural,133000
1040,6897,5,1,260,1,3,6,0,0,0,1,0,2025,63,Rural,127000
1494,15410,6,2,461,2,3,7,0,0,1,1,1,2025,51,Rural,169000
1923,10186,7,2,564,2,3,8,0,0,1,1,1,2025,33,Rural,190000
2349,13143,8,3,762,2,4,9,0,0,1,1,1,2025,32,Rural,362500
2225,11134,8,3,713,2,4,7,0,0,1,1,1,2025,33,Rural,285000
1488,4835,7,2,506,2,2,6,0,0,0,1,1,2025,21,Rural,260000
1680,3515,7,2,588,2,2,3,0,0,0,1,0,2025,21,Rural,190000
1200,3215,7,2,480,2,2,4,0,0,0,1,0,2025,21,Rural,155000
1200,3182,7,2,480,2,2,4,0,0,0,1,0,2025,21,Rural,151000
1200,2544,7,2,480,2,2,4,0,0,0,1,0,2025,21,Rural,149500
1236,2544,6,2,480,2,2,4,0,0,0,1,0,2025,20,Rural,152000
1478,4403,7,2,484,2,2,7,0,0,0,1,1,2025,16,Rural,222000
1573,2117,6,2,440,2,3,5,0,0,0,1,0,2025,25,Rural,177500
1512,2980,6,2,440,2,2,5,0,0,0,1,0,2025,25,Rural,177000
1416,2572,7,2,484,2,3,6,0,0,0,1,0,2025,26,Rural,155000
1080,2403,7,2,496,2,2,4,0,0,0,1,0,2025,22,Rural,147110
1418,12853,8,3,852,1,1,6,0,0,1,1,1,2025,15,Rural,267916
1848,7379,8,2,592,2,3,7,0,0,0,1,1,2025,25,Rural,254000
788,4420,8,2,484,1,1,3,0,0,0,1,1,2025,45,Rural,155000
1226,3880,8,2,484,1,1,4,0,0,0,1,1,2025,47,Rural,206000
1479,13517,6,2,475,2,3,6,0,0,1,1,0,2025,49,Rural,130500
1492,8000,7,2,596,2,3,6,0,0,0,1,1,2025,23,Rural,230000
1829,10456,6,2,535,2,4,8,0,0,1,1,0,2025,58,Rural,218500
2495,10791,6,2,660,2,4,9,0,0,1,1,1,2025,32,Rural,243500
1610,10603,6,2,480,2,3,6,0,0,1,1,1,2025,48,Rural,205000
1891,18837,6,2,678,3,3,7,0,0,1,1,1,2025,47,Rural,212500
1714,10421,7,2,496,2,3,7,0,0,1,1,1,2025,37,Rural,196500
1381,9360,6,2,676,1,3,5,0,0,1,1,1,2025,53,Rural,197500
1645,9600,6,2,441,1,4,7,0,0,1,1,0,2025,54,Rural,171000
1232,9600,5,2,490,1,3,6,0,0,1,1,0,2025,59,Rural,142250
1328,9790,6,2,528,1,3,6,0,0,1,1,1,2025,62,Rural,143000
1225,9320,4,0,0,1,3,6,0,0,1,0,0,2025,66,Rural,128950
1209,9900,5,2,504,1,3,6,0,0,1,1,0,2025,59,Rural,159000
1510,9680,5,2,517,2,3,6,0,0,1,1,0,2025,58,Rural,178900
1775,10600,6,2,480,2,3,8,0,0,1,1,0,2025,61,Rural,136300
1152,14112,5,2,484,1,3,6,0,0,1,1,1,2025,61,Rural,180500
1054,8800,6,2,480,1,3,6,0,0,1,1,0,2025,62,Rural,137500
1728,13260,5,0,0,2,6,10,0,0,1,0,0,2025,63,Rural,84900
1078,9717,5,1,240,1,2,5,0,0,1,1,0,2025,75,Rural,142125
2461,9724,5,2,400,2,3,7,0,0,1,1,1,2025,73,Rural,197600
1556,17360,6,2,470,2,3,6,0,0,1,1,1,2025,76,Rural,172500
858,7207,5,0,0,1,2,4,0,0,0,0,0,2025,67,Rural,116500
1306,5350,3,0,0,1,3,6,0,0,0,0,0,2025,85,Rural,76500
1063,9920,5,1,280,1,3,6,0,0,1,1,0,2025,71,Rural,128000
1520,9600,6,1,364,1,3,7,0,0,1,1,1,2025,70,Rural,153000
1268,7800,5,1,244,1,2,7,0,0,0,1,1,2025,71,Rural,132000
1128,11380,6,1,315,1,2,5,0,0,1,1,1,2025,59,Rural,178000
2274,11600,5,2,480,2,5,12,0,0,1,1,0,2025,65,Rural,154300
2207,19900,7,2,576,2,3,7,0,0,1,1,1,2025,55,Rural,180000
1888,16492,6,2,578,2,2,6,0,0,1,1,1,2025,59,Rural,190000
1604,8267,5,2,576,2,4,8,0,0,1,1,0,2025,67,Rural,135000
1480,8197,7,2,620,2,3,7,0,0,1,1,0,2025,22,Rural,214000
1143,8050,5,1,308,1,3,6,0,0,1,1,0,2025,66,Rural,136000
1700,10552,5,2,447,1,4,6,0,0,1,1,1,2025,66,Rural,165500
1314,8400,5,1,294,1,3,5,0,0,1,1,0,2025,68,Rural,145000
1194,8760,6,1,312,1,3,6,0,0,1,1,0,2025,66,Rural,148000
1188,12160,5,2,531,1,3,6,0,0,1,1,0,2025,66,Rural,142000
1264,9300,5,2,461,1,3,6,0,0,1,1,1,2025,65,Rural,167500
1206,10725,5,1,312,1,3,6,0,0,1,1,0,2025,66,Rural,108538
1580,10032,6,2,440,1,3,6,0,0,1,1,1,2025,66,Rural,159500
1337,8382,4,1,263,1,3,5,0,0,1,1,0,2025,69,Rural,108000
1064,10950,5,1,318,1,2,4,0,0,1,1,0,2025,73,Rural,135000
972,10895,5,1,305,1,3,5,0,0,1,1,0,2025,70,Rural,122500
988,13587,5,1,264,1,2,5,0,0,1,1,0,2025,67,Rural,119000
1057,7922,5,1,246,1,3,5,0,0,0,1,0,2025,72,Rural,109000
985,7898,4,2,676,1,2,4,0,0,0,1,0,2025,105,Rural,105000
827,7200,5,1,392,1,2,5,0,0,0,1,1,2025,70,Rural,107500
1086,10200,5,2,490,1,3,6,0,0,1,1,0,2025,71,Rural,144900
936,5868,5,1,308,1,2,4,0,0,0,1,0,2025,69,Rural,129000
1458,17503,6,1,330,1,3,6,0,0,1,1,1,2025,77,Rural,97500
1056,6979,6,2,576,0,0,4,0,0,0,1,0,2025,45,Rural,144000
1287,9830,5,2,576,1,3,7,0,0,1,1,1,2025,66,Rural,162000
2978,11275,7,2,564,2,5,11,0,0,1,1,1,2025,58,Rural,242000
1224,8064,6,1,280,1,3,5,0,0,1,1,0,2025,77,Rural,132000
1246,7500,5,1,305,1,3,6,0,0,0,1,0,2025,66,Rural,154000
1385,8520,5,2,720,2,4,6,0,0,1,1,0,2025,73,Rural,166000
900,7200,5,2,576,1,3,5,0,0,0,1,0,2025,74,Rural,134800
1116,10000,6,2,440,1,3,5,0,0,1,1,0,2025,63,Rural,160000
1175,7635,5,2,484,1,3,6,0,0,0,1,0,2025,65,Rural,148000
1395,9760,6,2,440,1,2,7,0,0,1,1,1,2025,62,Rural,192000
1839,7700,6,2,442,1,4,7,0,0,0,1,1,2025,59,Rural,155000
1844,4800,4,1,240,1,3,9,1,1,0,1,1,2025,125,Urban,80400
1140,8800,4,0,0,1,3,7,1,1,1,0,0,2025,115,Urban,96500
936,4485,5,0,0,1,2,5,0,1,0,0,1,2025,105,Urban,109500
1028,8960,5,2,360,1,2,5,1,1,1,1,1,2025,98,Urban,115000
1347,5805,5,2,551,1,3,6,1,1,0,1,0,2025,68,Urban,143000
1605,5790,3,1,379,2,3,8,1,1,0,1,0,2025,110,Urban,107400
747,4608,4,1,220,1,2,4,0,0,0,1,0,2025,80,Urban,80000
804,7200,5,1,240,1,2,4,0,1,0,1,1,2025,85,Urban,119000
1316,5500,5,2,484,1,3,6,1,1,0,1,0,2025,96,Urban,130000
1251,6900,6,1,240,1,3,6,1,1,0,1,0,2025,87,Urban,119000
1633,11851,5,1,240,1,3,7,1,1,1,1,1,2025,77,Urban,129000
1245,8239,5,1,315,1,3,6,1,1,1,1,0,2025,105,Urban,100000
832,9656,2,2,780,1,2,5,0,1,1,1,1,2025,102,Urban,12789
720,8520,6,2,484,1,2,5,0,0,1,1,0,2025,97,Urban,105900
1566,9600,8,1,288,2,3,7,1,1,1,1,0,2025,125,Urban,150000
1652,10800,5,1,416,2,4,7,1,1,1,1,0,2025,110,Urban,139000
2268,9000,8,2,624,3,3,7,1,1,1,1,0,2025,135,Urban,240000
2256,9045,5,0,0,2,4,12,1,1,1,0,0,2025,115,Urban,76500
1236,7407,6,2,923,1,2,6,1,1,0,1,0,2025,68,Urban,149700
1363,7740,4,2,528,1,3,6,1,1,0,1,0,2025,115,Urban,125500
2290,11340,4,2,560,2,4,11,1,1,1,1,0,2025,140,Urban,122500
1470,10560,6,2,624,1,2,6,1,1,1,1,0,2025,103,Urban,140750
1612,5830,5,1,363,1,3,7,1,1,0,1,0,2025,75,Urban,128500
2068,7793,7,1,315,1,3,8,0,0,0,1,1,2025,103,Rural,209500
765,5000,4,1,200,1,2,4,0,1,0,1,0,2025,100,Urban,87000
1132,6000,6,1,240,1,2,5,1,1,0,1,0,2025,86,Urban,134000
1196,6000,6,2,576,1,3,6,1,1,0,1,1,2025,85,Urban,128000
1453,6360,5,1,240,1,3,7,1,1,0,1,1,2025,83,Urban,132000
1416,6000,6,1,312,1,3,6,1,1,0,1,0,2025,77,Urban,139900
1040,6240,5,2,624,1,2,5,1,1,0,1,0,2025,89,Urban,123900
1536,6240,5,2,480,2,4,7,1,1,0,1,1,2025,95,Urban,138400
1068,6120,6,1,288,1,2,5,1,1,0,1,1,2025,102,Urban,109500
1710,10300,7,2,480,2,3,9,1,1,1,1,0,2025,104,Urban,140000
1962,8094,4,2,572,1,4,9,1,1,1,1,1,2025,110,Urban,149500
1560,12900,6,0,0,1,3,7,1,1,1,0,0,2025,113,Urban,159900
1324,3068,6,1,180,1,3,6,1,1,0,1,0,2025,105,Urban,122000
816,8472,5,2,516,1,2,5,0,1,1,1,0,2025,62,Urban,110000
1092,5600,4,0,0,2,3,7,1,1,0,0,0,2025,95,Urban,55000
1812,7630,5,2,672,2,4,8,1,1,0,1,1,2025,125,Urban,140000
2403,24090,7,1,349,2,4,10,0,0,1,1,1,2025,85,Rural,244400
1675,15263,5,1,365,2,3,8,0,0,1,1,1,2025,66,Rural,173000
1224,10632,5,1,180,1,3,6,0,0,1,1,0,2025,108,Rural,107500
1392,9900,5,0,0,1,3,6,0,0,1,0,0,2025,110,Rural,100000
919,6001,6,1,231,1,3,5,0,0,0,1,0,2025,85,Rural,95000
1884,6449,4,0,0,1,4,7,1,1,0,0,0,2025,118,Urban,93369
1680,6048,5,2,450,2,2,7,1,1,0,1,1,2025,115,Urban,114900
1020,6342,5,0,0,1,2,6,0,0,0,0,0,2025,150,Rural,94000
1832,10773,4,0,0,2,4,8,0,0,1,0,0,2025,58,Rural,136000
1768,10778,4,0,0,2,4,8,0,0,1,0,0,2025,57,Rural,136500
1039,11625,5,2,504,1,3,6,0,0,1,1,0,2025,60,Rural,131500
1392,11341,5,2,528,1,3,5,0,0,1,1,1,2025,68,Rural,121500
912,8521,5,1,336,1,3,5,0,0,1,1,1,2025,58,Rural,125000
1060,8246,5,1,270,1,3,6,0,0,1,1,1,2025,57,Rural,154000
892,7800,5,1,416,1,3,5,0,0,0,1,0,2025,59,Rural,137900
1352,9364,6,1,299,1,4,7,0,0,1,1,0,2025,56,Rural,158000
864,7832,5,1,280,1,2,4,0,0,0,1,0,2025,57,Rural,137250
1373,7424,5,2,591,1,3,5,0,0,0,1,1,2025,47,Rural,160250
1440,11227,5,2,480,1,4,7,0,0,1,1,1,2025,57,Rural,163000
1386,11616,6,2,440,2,3,6,0,0,1,1,1,2025,47,Rural,158900
2260,14000,7,2,533,2,3,7,0,0,1,1,0,2025,29,Rural,328000
1483,20062,7,2,690,1,1,4,0,0,1,1,1,2025,48,Rural,270000
756,9259,4,2,440,1,2,4,0,0,1,1,0,2025,98,Rural,85000
1067,9600,4,2,436,2,2,4,0,0,1,1,0,2025,75,Rural,128000
1524,23595,7,2,586,0,0,4,0,0,1,1,1,2025,46,Rural,260000
1981,17082,6,2,522,2,4,8,0,0,1,1,1,2025,47,Rural,230000
1610,18600,3,1,480,2,4,8,0,0,1,1,1,2025,87,Rural,124000
835,10625,5,1,366,1,2,5,0,0,1,1,0,2025,105,Rural,83000
1074,11479,6,1,467,1,3,6,0,0,1,1,1,2025,75,Rural,144500
1144,9571,5,1,596,1,3,6,0,0,1,1,0,2025,69,Rural,129000
1531,9350,4,1,209,1,3,8,0,0,1,1,1,2025,78,Rural,127000
1172,9525,5,1,366,1,3,5,0,0,1,1,0,2025,71,Rural,128000
1212,10420,6,2,460,2,3,6,0,0,1,1,0,2025,16,Rural,186000
1508,17485,7,2,572,1,1,5,0,0,1,1,1,2025,16,Rural,308030
1298,11200,5,2,504,2,3,5,0,0,1,1,0,2025,61,Rural,114000
930,11100,4,1,308,1,2,6,0,0,1,1,0,2025,79,Rural,84900
1732,9206,6,2,476,2,3,7,0,0,1,1,1,2025,40,Rural,178000
1433,11980,7,2,528,1,1,4,0,0,1,1,1,2025,38,Rural,270000
1802,12361,6,4,1017,2,3,8,0,0,1,1,1,2025,32,Rural,218000
1949,9938,7,2,574,2,3,8,0,0,1,1,1,2025,32,Rural,236000
996,9069,6,2,564,1,2,5,0,0,1,1,0,2025,33,Rural,147000
1694,10475,8,3,776,2,3,7,0,0,1,1,0,2025,17,Rural,245350
1208,6762,7,2,632,2,2,6,0,0,0,1,0,2025,19,Rural,206000
1226,10402,7,3,740,2,3,6,0,0,1,1,0,2025,16,Rural,198900
1222,7360,7,2,615,2,2,6,0,0,0,1,0,2025,15,Rural,187000
3222,12376,7,3,594,3,5,11,0,0,1,1,1,2025,35,Rural,320000
1445,14235,6,2,484,2,3,6,0,0,1,1,0,2025,125,Rural,138500
1052,8816,6,2,440,1,3,6,0,0,1,1,0,2025,54,Rural,155000
965,11105,5,2,580,1,2,4,0,0,1,1,0,2025,29,Rural,159000
1692,9337,7,2,513,2,3,8,0,0,1,1,1,2025,28,Rural,191000
1682,8750,6,2,523,2,3,7,0,0,1,1,0,2025,27,Rural,200500
1026,15240,5,1,308,1,3,5,0,0,1,1,0,2025,48,Rural,150000
1392,10900,6,1,299,1,3,6,0,0,1,1,0,2025,48,Rural,161750
894,10650,5,1,308,1,3,5,0,0,1,1,0,2025,49,Rural,128200
876,7480,5,2,484,1,3,5,0,0,0,1,0,2025,53,Rural,127000
1978,10389,8,3,850,2,3,8,0,0,1,1,1,2025,22,Rural,318000
1601,11423,8,2,670,2,3,6,0,0,1,1,1,2025,24,Rural,272000
1829,9548,7,2,613,2,3,7,0,0,1,1,1,2025,22,Rural,237000
2098,9375,7,2,621,2,4,9,0,0,1,1,1,2025,28,Rural,240000
1661,12137,7,2,598,2,3,6,0,0,1,1,0,2025,27,Rural,224900
848,4435,6,2,420,1,1,4,0,1,0,1,0,2025,22,Urban,143750
848,4426,6,2,420,1,1,3,0,1,0,1,0,2025,21,Urban,143000
1668,10635,8,2,502,2,3,8,0,0,1,1,1,2025,22,Rural,232000
1484,8400,7,2,606,2,3,7,0,0,1,1,0,2025,21,Rural,213000
1414,8773,7,2,494,2,3,6,0,0,1,1,0,2025,21,Rural,185500
640,8777,3,1,240,1,2,5,0,0,1,1,0,2025,80,Rural,84900
992,8842,5,1,319,1,3,6,0,0,1,1,0,2025,71,Rural,155891
1664,9825,5,0,0,2,4,8,0,0,1,0,0,2025,60,Rural,100000
1196,10044,5,1,336,1,3,6,0,0,1,1,0,2025,57,Rural,144000
1120,11792,4,2,480,1,2,5,0,0,1,1,0,2025,77,Rural,64000
1096,6305,6,1,352,1,3,5,0,0,0,1,1,2025,50,Rural,125200
1117,7819,6,2,672,1,3,6,0,0,0,1,1,2025,49,Rural,107000
960,6410,4,0,0,1,3,5,0,0,0,0,0,2025,67,Rural,90000
1121,8546,4,2,440,2,2,5,1,1,1,1,0,2025,22,Urban,140000
1487,8741,6,1,220,1,3,7,0,0,1,1,1,2025,80,Rural,113000
924,12180,4,1,280,1,2,5,0,0,1,1,0,2025,84,Rural,80000
1526,8562,5,1,364,1,4,7,0,0,1,1,1,2025,68,Rural,144500
1296,4853,5,1,260,2,2,5,0,0,0,1,1,2025,101,Rural,104000
1647,6858,6,1,216,1,4,6,0,0,0,1,0,2025,110,Rural,128000
864,8212,3,1,200,1,2,5,0,0,1,1,0,2025,111,Rural,58500
1691,5000,5,1,308,2,3,6,0,0,0,1,1,2025,101,Rural,127000
856,7890,6,2,399,1,2,4,0,0,0,1,1,2025,86,Rural,126000
2650,7200,4,0,0,3,6,10,1,1,0,0,0,2025,58,Urban,160000
1666,9839,5,0,0,1,3,7,0,0,1,0,1,2025,94,Rural,100000
2447,9638,6,1,336,2,4,10,0,0,1,1,1,2025,106,Rural,169000
2133,10452,7,1,312,1,4,8,0,0,1,1,1,2025,84,Rural,257500
2177,15600,5,2,484,2,5,11,0,0,1,1,0,2025,75,Rural,215000
2340,9042,7,1,252,2,4,9,0,0,1,1,1,2025,84,Rural,266500
1902,17500,7,2,567,2,3,7,0,0,1,1,1,2025,66,Rural,335000
1652,19645,7,2,473,2,3,6,0,0,1,1,0,2025,31,Rural,203135
1034,3907,8,2,598,1,1,4,1,1,0,1,1,2025,36,Urban,185000
1191,3907,8,2,531,2,2,5,1,1,0,1,1,2025,36,Urban,162500
1801,15602,7,2,484,2,1,6,0,0,1,1,1,2025,66,Rural,289000
1154,5436,4,1,240,1,3,7,1,1,0,1,0,2025,103,Urban,125500
540,8154,2,1,200,1,1,4,0,0,1,1,0,2025,84,Urban,82000
1107,9140,6,1,625,1,2,5,1,1,1,1,0,2025,104,Urban,110000
1128,7500,4,2,528,1,2,6,1,1,0,1,0,2025,105,Urban,68400
1178,8712,4,1,384,1,2,7,1,1,1,1,0,2025,125,Urban,102776
1044,8712,5,2,504,1,2,4,1,1,1,1,0,2025,73,Urban,55993
952,8712,4,1,330,1,3,5,0,1,1,1,0,2025,129,Urban,50138
1646,3811,8,2,525,2,2,5,1,1,0,1,1,2025,21,Urban,246000
1916,11050,8,3,741,2,3,8,0,0,1,1,1,2025,27,Rural,254900
1285,9620,6,2,473,2,3,6,0,0,1,1,1,2025,48,Rural,190000
1560,9196,7,2,573,2,3,7,0,0,1,1,0,2025,22,Rural,201000
1034,12328,6,3,888,1,3,6,0,0,1,1,0,2025,49,Rural,169900
2048,12760,6,2,776,3,5,9,0,0,1,1,0,2025,49,Rural,170000
1687,57200,5,2,572,1,3,7,0,0,1,1,1,2025,77,Rural,160000
1346,11896,7,3,660,2,3,6,0,0,1,1,1,2025,17,Rural,220000
1214,9803,7,2,520,2,2,6,0,0,1,1,0,2025,16,Rural,179781
1444,9802,5,2,400,2,3,7,0,0,1,1,0,2025,19,Rural,174000
1968,12003,8,3,680,2,4,8,0,0,1,1,1,2025,16,Rural,269500
1894,11316,7,2,510,2,4,8,0,0,1,1,1,2025,23,Rural,214900
1908,14191,8,2,431,2,4,9,0,0,1,1,0,2025,23,Rural,202900
2018,13214,9,3,746,2,3,10,0,0,1,1,1,2025,17,Rural,378500
1264,15300,5,2,528,1,2,7,0,0,1,1,1,2025,60,Rural,169000
1430,10114,5,2,624,2,3,7,0,0,1,1,0,2025,21,Rural,173500
1824,9400,6,0,0,2,4,8,0,0,1,0,0,2025,54,Rural,139000
1344,11875,5,2,686,2,3,7,0,0,1,1,1,2025,26,Rural,166500
1092,1974,4,1,286,1,3,6,1,1,0,1,0,2025,52,Urban,83500
945,2394,5,1,253,1,2,5,0,1,0,1,1,2025,52,Urban,119500
1112,2592,5,1,336,1,3,4,1,1,0,1,0,2025,49,Urban,85000
1092,1476,4,0,0,1,3,5,1,1,0,0,0,2025,55,Urban,76000
630,1491,4,0,0,1,1,3,0,0,0,0,0,2025,53,Urban,75500
1092,1900,4,0,0,1,3,5,1,1,0,0,0,2025,55,Urban,88250
1092,1890,4,1,286,1,3,5,1,1,0,1,0,2025,53,Urban,85500
874,6953,5,1,352,1,3,5,0,0,0,1,0,2025,54,Rural,130000
1188,26142,5,1,312,1,3,6,0,0,1,1,0,2025,63,Rural,157900
833,12887,5,2,495,1,2,5,0,0,1,1,0,2025,41,Rural,149900
2432,7700,5,2,616,4,4,10,0,0,0,1,0,2025,40,Rural,159000
1274,10475,5,2,576,1,3,6,0,0,1,1,0,2025,34,Rural,136000
1479,10544,5,1,275,2,5,8,0,0,1,1,0,2025,56,Rural,161000
1803,9892,8,2,482,2,3,6,0,0,1,1,1,2025,31,Rural,285000
1797,12961,6,2,616,2,3,7,0,0,1,1,1,2025,32,Rural,231000
882,13008,6,1,502,1,2,5,0,0,1,1,0,2024,68,Rural,124500
1434,10200,6,2,528,2,4,7,0,0,1,1,1,2024,50,Rural,157000
2704,13860,8,2,538,2,4,9,0,0,1,1,1,2024,52,Rural,345000
1608,10179,6,2,470,2,3,7,0,0,1,1,1,2024,27,Rural,189500
2283,11792,8,3,632,2,4,9,0,0,1,1,1,2024,21,Rural,270000
